asset_id,asset_type_code,name,func_loc_path,active,latitude,longitude,address,barcode,serial_number,district_code,municipality_code,town_code,suburb_code,facility_type_code,responsible_dept_code,is_owned,EMIS
28799d55-044a-4971-9bd3-0c2febedcc94,ENVELOPE,RODEWAL UCC PS,WCEDL000172,TRUE,-33.481534,22.246711,"Ucc Kerkgronde, Schoemanshoek,6620",NULL,NULL,EDEN,OUDTSHOORN,DYSSELSDOP,WCP_208,NULL,WCED,TRUE,124358258
ddc6e1a4-9121-4bd3-a721-ebde6385edc4,FACILITY,RODEWAL UCC PS,WCEDL000172.WCEDL000172,TRUE,-33.481534,22.246711,"Ucc Kerkgronde, Schoemanshoek,6620",NULL,NULL,EDEN,OUDTSHOORN,DYSSELSDOP,WCP_208,SCHP,NULL,NULL,NULL
b413fe71-7e3d-4f91-bf3e-5f8cf6aee3be,ENVELOPE,VLAKTEPLAAS UCC PS,WCEDL000216,TRUE,-33.495533,22.701856,"Vlakteplaas, De Rust,6650",NULL,NULL,EDEN,OUDTSHOORN,DYSSELSDOP,WCP_208,NULL,WCED,TRUE,124356239
7a3ad9c7-212c-4e76-a2e6-e50722639eb1,FACILITY,VLAKTEPLAAS UCC PS,WCEDL000216.WCEDL000216,TRUE,-33.495533,22.701856,"Vlakteplaas, De Rust,6650",NULL,NULL,EDEN,OUDTSHOORN,DYSSELSDOP,WCP_208,SCHP,NULL,NULL,NULL
448c098f-4823-46a7-99ef-ebfae2be2e34,ENVELOPE,KLIPDRIFT EK PS,WCEDL000101,TRUE,-33.775042,22.311581,"Klipdrift, George,6530",NULL,NULL,EDEN,OUDTSHOORN,OUDTSHOORN,WCP_71,NULL,WCED,TRUE,118356409
e4b574ed-05cf-4525-aac1-73f7ba4c2793,FACILITY,KLIPDRIFT EK PS,WCEDL000101.WCEDL000101,TRUE,-33.775042,22.311581,"Klipdrift, George,6530",NULL,NULL,EDEN,OUDTSHOORN,OUDTSHOORN,WCP_71,SCHP,NULL,NULL,NULL
8da6cbaf-1bc3-4039-a49c-c9efcb22f842,ENVELOPE,ZEEKOEGAT VGK PS,WCEDL000237,TRUE,-33.626766,22.160414,"Mosselbaai Pad Naby, Safari Volstruisplaas, OUDTSHOORN,6620",NULL,NULL,EDEN,OUDTSHOORN,OUDTSHOORN,WCP_71,NULL,WCED,TRUE,124357219
be003577-8ec7-4dfe-9f9b-821c76fa005a,FACILITY,ZEEKOEGAT VGK PS,WCEDL000237.WCEDL000237,TRUE,-33.626766,22.160414,"Mosselbaai Pad Naby, Safari Volstruisplaas, OUDTSHOORN,6620",NULL,NULL,EDEN,OUDTSHOORN,OUDTSHOORN,WCP_71,SCHP,NULL,NULL,NULL
51817ef1-d1f4-47df-8b54-51f7bed77ada,ENVELOPE,SKOOL IN DIE WILDERNIS,WCEDL000183,TRUE,-34.009457,22.451134,"Bundu Farm, VILLIERSDORP,6848",NULL,NULL,EDEN,GEORGE,THEMBALETU,WCP_578,NULL,WCED,TRUE,114322600
d62cf472-0780-4adb-8742-64bfafd69169,FACILITY,SKOOL IN DIE WILDERNIS,WCEDL000183.WCEDL000183,TRUE,-34.009457,22.451134,"Bundu Farm, VILLIERSDORP,6848",NULL,NULL,EDEN,GEORGE,THEMBALETU,WCP_578,SCHO,NULL,NULL,NULL
acaece50-b31e-401c-b64f-5d8a6b726ec5,ENVELOPE,DIEPKLOOF VGK PS,WCEDL000048,TRUE,-33.995006,22.307915,"Diepkloof, Sinksabrug,6530",NULL,NULL,EDEN,MOSSELBAY,BOTHASTRND,WCP_42,NULL,WCED,TRUE,118356271
fb5891cd-7b07-4bf7-9fdc-954ee7d395eb,FACILITY,DIEPKLOOF VGK PS,WCEDL000048.WCEDL000048,TRUE,-33.995006,22.307915,"Diepkloof, Sinksabrug,6530",NULL,NULL,EDEN,MOSSELBAY,BOTHASTRND,WCP_42,SCHP,NULL,NULL,NULL
876a24d2-b4b4-4bf2-8fc1-0691d0597a2d,ENVELOPE,FRANKEN VGK PS,WCEDL000070,TRUE,-33.841903,22.445087,"Langs Pad Na Montagu Pas, Herold,6615",NULL,NULL,EDEN,MOSSELBAY,BOTHASTRND,WCP_42,NULL,WCED,TRUE,118356476
8e9da740-61bd-43d7-a19a-075b84db5e37,FACILITY,FRANKEN VGK PS,WCEDL000070.WCEDL000070,TRUE,-33.841903,22.445087,"Langs Pad Na Montagu Pas, Herold,6615",NULL,NULL,EDEN,MOSSELBAY,BOTHASTRND,WCP_42,SCHP,NULL,NULL,NULL
7b863d9b-d521-470a-9d32-cb034c146de4,ENVELOPE,HOOGEKRAAL SSKV PS,WCEDL000085,TRUE,-34.029578,22.319508,"Hoogekraal, Outeniqua, GEORGE,",NULL,NULL,EDEN,MOSSELBAY,BOTHASTRND,WCP_42,NULL,WCED,TRUE,118358681
bee7a227-5720-4f5d-92ea-13ead991fb3e,FACILITY,HOOGEKRAAL SSKV PS,WCEDL000085.WCEDL000085,TRUE,-34.029578,22.319508,"Hoogekraal, Outeniqua, GEORGE,",NULL,NULL,EDEN,MOSSELBAY,BOTHASTRND,WCP_42,SCHP,NULL,NULL,NULL
2d43b859-b257-41fd-a55c-d381e9367b59,ENVELOPE,WABOOMSKRAAL VGK PS,WCEDL000220,TRUE,-33.875096,22.347666,"Waboomskraal, George,6530",NULL,NULL,EDEN,MOSSELBAY,BOTHASTRND,WCP_42,NULL,WCED,TRUE,118356492
0983f736-6a79-4aa5-af9c-87348d413ec8,FACILITY,WABOOMSKRAAL VGK PS,WCEDL000220.WCEDL000220,TRUE,-33.875096,22.347666,"Waboomskraal, George,6530",NULL,NULL,EDEN,MOSSELBAY,BOTHASTRND,WCP_42,SCHP,NULL,NULL,NULL
22263ee7-5e8f-4bd6-b732-a2a8663cab0a,ENVELOPE,AVONTUUR LB PS,WCEDL000008,TRUE,-33.721454,23.161688,"OLD BAINS ROAD, PK AVONTUUR, AVONTUUR,6490",NULL,NULL,EDEN,GEORGE,VANROOYENS,WCP_310,NULL,WCED,TRUE,125357758
5c35d3b4-38a6-4af9-98e3-d7138ef54b8a,FACILITY,AVONTUUR LB PS,WCEDL000008.WCEDL000008,TRUE,-33.721454,23.161688,"OLD BAINS ROAD, PK AVONTUUR, AVONTUUR,6490",NULL,NULL,EDEN,GEORGE,VANROOYENS,WCP_310,SCHP,NULL,NULL,NULL
46741edf-57c5-467d-81d8-b1f3c603ddd1,ENVELOPE,BRITSEVLAKTE NGK PS,WCEDL000028,TRUE,-33.426502,23.290146,"Britsevlakte, Uniondale,6460",NULL,NULL,EDEN,GEORGE,UNIONDALEE,WCP_1107,NULL,WCED,TRUE,125357871
c2b02d22-afab-4c35-8f4d-a9b98c62789b,FACILITY,BRITSEVLAKTE NGK PS,WCEDL000028.WCEDL000028,TRUE,-33.426502,23.290146,"Britsevlakte, Uniondale,6460",NULL,NULL,EDEN,GEORGE,UNIONDALEE,WCP_1107,SCHP,NULL,NULL,NULL
636d165e-3d77-4965-975e-489c46394291,ENVELOPE,ROOIRIVIER VGK PS,WCEDL000174,TRUE,-33.528657,22.813177,"Rooirivier Plaas, Uniondale Weg, DE RUST,6650",NULL,NULL,EDEN,GEORGE,UNIONDALEE,WCP_1107,NULL,WCED,TRUE,125357820
7f6b07c7-ee22-488b-bfe9-1c0e7a4760d6,FACILITY,ROOIRIVIER VGK PS,WCEDL000174.WCEDL000174,TRUE,-33.528657,22.813177,"Rooirivier Plaas, Uniondale Weg, DE RUST,6650",NULL,NULL,EDEN,GEORGE,UNIONDALEE,WCP_1107,SCHP,NULL,NULL,NULL
8e58a71e-a7c0-4af8-a6af-bf28f22fc8c3,ENVELOPE,SCHEEPERSKRAAL SSKV PS,WCEDL000180,TRUE,-33.700196,22.618003,"Plaas Koutie, Oudtshoorn,6620",NULL,NULL,EDEN,GEORGE,UNIONDALEE,WCP_1107,NULL,WCED,TRUE,124358673
