AssetId|ClientAssetID|LocationSGcode FROM FAR
2522|LAN9603804|C01600350002862100000
2524|LAN9603801|C01600350003444400000
2525|LAN9603800|C01600350002585700000
2528|LAN9602974|C01600190001022600000
2529|LAN9598742|C01600190001135800000
2530|LAN9599864|C01600190001013900000
2530|LAN9600703|C01600190001013300000
2530|LAN9602349|C01600190001013200000
2530|LAN9603232|C01600190001013800000
2530|LAN9604038|C01600190001014000000
2530|LAN9604039|C01600190001013500000
2530|LAN9604890|C01600190001013400000
2531|LAN9598780|C01600190001661100000
2531|LAN9598785|C01600190001245000000
2531|LAN9599644|C01600190001660700000
2531|LAN9599649|C01600190001305000000
2531|LAN9599652|C01600190001242400000
2531|LAN9600479|C01600190001305200000
2531|LAN9600481|C01600190001242800000
2531|LAN9600485|C01600190001242600000
2531|LAN9601301|C01600190001304900000
2531|LAN9602136|C01600190001660800000
2531|LAN9602139|C01600190001242200000
2531|LAN9602140|C01600190001242500000
2531|LAN9603009|C01600190001660900000
2531|LAN9603831|C01600190001305100000
2531|LAN9603832|C01600190001245100000
2531|LAN9603833|C01600190001242900000
2000|LAN9600562|C01600020000849700000
2000|LAN9600563|C01600020000849300000
2000|LAN9600566|C01600020000848800000
2000|LAN9600567|C01600020000848600000
2000|LAN9600621|C01600020000847800000
2000|LAN9601355|C01600020000849800000
2000|LAN9601356|C01600020000848900000
2000|LAN9601357|C01600020000848500000
2000|LAN9601358|C01600020000848300000
2000|LAN9601359|C01600020000848000000
2000|LAN9602007|C01600020000848700000
2000|LAN9602224|C01600020000849600000
2000|LAN9602226|C01600020000848400000
2000|LAN9603145|C01600020000847500000
2000|LAN9603146|C01600020000847300000
2000|LAN9603905|C01600020000849000000
2000|LAN9604747|C01600020000849900000
2000|LAN9604749|C01600020000849400000
2000|LAN9604750|C01600020000849200000
2000|LAN9604752|C01600020000847900000
2000|LAN9604806|C01600020000847400000
2002|LAN9599720|C01600020000033900000
2003|LAN9598873|C01600020000708400000
2003|LAN9598874|C01600020000708100000
2003|LAN9598875|C01600020000708000000
2003|LAN9599719|C01600020000707900000
2003|LAN9600558|C01600020000704800000
2003|LAN9603090|C01600020000708200000
2003|LAN9603091|C01600020000707800000
2003|LAN9603903|C01600020000708300000
2005|LAN9598893|C01600020000351100000
2005|LAN9598898|C01600020000487400000
2005|LAN9599716|C01600020000350600000
